"統計名：","在留外国人統計（旧登録外国人統計） 在留外国人統計"
"表番号：","01"
"表題：","国籍・地域別　在留資格別　在留外国人"
"実施年月：","-","-"

"***","数字が得られないもの"
"-","数字が得られないもの"

"","","","","","","","","","/在留資格 コード","1010","1040","1050","1060","1070","1080","1090","1100","1110","1120","1130","1140","1150","1160","1170","1180","1190","1200","1210","1220","1230","1240","1250","1260","1270","1280","1290","1300","1310","1320","1330","1340","1350","1360","1380","1400","1410","1420","1430","1440","1450","1460","1470"
"","","","","","","","","","/在留資格 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","集計時点（半期毎） コード","集計時点（半期毎） 補助コード","集計時点（半期毎）","国籍・地域 コード","国籍・地域 補助コード","国籍・地域","/在留資格","総数","教授","芸術","宗教","報道","高度専門職合計","高度専門職１号イ","高度専門職１号ロ","高度専門職１号ハ","高度専門職２号","投資・経営","経営・管理","法律・会計業務","医療","研究","教育","技術","人文知識・国際業務","技術・人文知識・国際業務","企業内転勤","介護","興行","技能","特定技能合計","特定技能１号","特定技能２号","技能実習合計","技能実習１号イ","技能実習１号ロ","技能実習２号イ","技能実習２号ロ","技能実習３号イ","技能実習３号ロ","文化活動","留学","研修","家族滞在","特定活動","永住者","日本人の配偶者等","永住者の配偶者等","定住者","特別永住者"
"01","","人数【人】","2025000606","","2025年6月","1260","","トルコ","","7842","36","7","5","0","76","4","51","20","1","***","283","0","2","10","22","***","***","533","85","1","0","149","11","11","0","18","18","0","0","0","0","0","8","746","2","709","1526","1291","1316","423","583","0"
"01","","人数【人】","2025000606","","2025年6月","1270","","ネパール","","273229","32","9","5","2","60","15","41","2","2","***","2999","0","2","5","13","***","***","46144","112","1820","0","21581","9381","9329","52","3903","4","1702","4","2121","0","72","12","106188","4","65233","1895","9102","1684","1280","1760","3"
"01","","人数【人】","2025000606","","2025年6月","1280","","バーレーン","","21","0","0","0","0","0","0","0","0","0","***","1","0","0","0","0","***","***","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","3","0","0","0"
"01","","人数【人】","2025000606","","2025年6月","1290","","パキスタン","","32478","37","0","50","1","69","28","38","2","1","***","2838","0","0","5","76","***","***","7022","77","2","3","304","9","9","0","205","97","57","0","51","0","0","13","2312","0","8280","1129","5528","1143","1339","2034","2"
"01","","人数【人】","2025000606","","2025年6月","1300","","パレスチナ","","118","1","0","0","0","6","4","1","1","0","***","0","0","0","0","0","***","***","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","16","19","24","9","3","12","0"
"01","","人数【人】","2025000606","","2025年6月","1310","","バングラデシュ","","40045","123","1","26","0","142","60","76","3","3","***","489","0","0","17","21","***","***","7927","34","100","0","394","569","563","6","1973","3","741","1","1193","0","35","26","12876","8","8268","694","4431","587","640","699","0"
"01","","人数【人】","2025000606","","2025年6月","1320","","東ティモール","","114","0","0","4","0","0","0","0","0","0","***","0","0","0","0","0","***","***","2","2","0","0","0","0","0","0","33","0","21","0","12","0","0","0","50","2","11","7","1","2","0","0","0"
"01","","人数【人】","2025000606","","2025年6月","1330","","フィリピン","","349714","111","3","467","1","150","29","111","5","5","***","85","0","91","18","2791","***","***","11175","2235","1300","372","896","32518","32396","122","40348","955","13281","1093","21720","170","3129","48","2770","83","6247","6052","142745","26236","9443","63478","51"
"01","","人数【人】","2025000606","","2025年6月","1340","","ブータン","","436","1","0","0","0","0","0","0","0","0","***","0","0","0","0","4","***","***","163","0","54","1","0","41","39","2","0","0","0","0","0","0","0","0","61","0","53","9","23","25","0","1","0"
"01","","人数【人】","2025000606","","2025年6月","1350","","ブルネイ","","90","1","0","0","0","1","1","0","0","0","***","0","0","0","1","2","***","***","19","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47","0","6","0","6","5","1","0","0"
"01","","人数【人】","2025000606","","2025年6月","1360","","ベトナム","","660483","140","0","254","8","911","92","766","17","36","***","2803","0","321","41","15","***","***","117094","1552","5922","2","1105","148486","146270","2216","198417","798","55464","1069","127330","87","13669","59","46058","90","70536","18794","30097","7380","2926","7466","6"
"01","","人数【人】","2025000606","","2025年6月","1370","","マレーシア","","12214","104","5","23","0","211","31","158","6","16","***","97","1","5","42","29","***","***","2949","186","8","8","70","54","50","4","51","9","10","0","30","0","2","31","2634","22","1041","168","3554","638","96","176","11"
